ID,Name,Key,EditType,EditTypeEX,IsTemplate,DropType,TriggerType,Model,Texture,TextureID,Quality,Chip,ShowType,ShowId,QualityLevel,ShowQuality,InvolvedID,UnlockType,UnlockFlag,ReplaceID,ChipPrice,ChipNum,CondUnlcokType,FilterType,Type,CreateType,ClassificationType,SortId,EXSortId,TypeDesc,Version,UnlockWay,TypeDesc,Desc,GetWay,Icon,IsMeshModel,IconEffect,WieldSound,WieldImage,WieldScale,ThirdPersonScale,DropScale,WieldPeriod,StackMax,Usable,Range,ItemGroup,UseTarget,UseScript,UseScript2,EmitScript,EnchantTag,StuffType,EnchantAfterID,,CanExtract,Score,Cooldown,Skills,CostFoodLevel,HandEffect,HandEffect,Scale,ScriptMasking
0,空气,Air,,,,,,,,,,,,,,-1,,,,,,,,3,1,0,,,,测试,,,100016,你看不见我,,[Air_wall,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
1,地心基石,UltraStone,11,,,4,3,,,,,,,,,-1,,,,,,,,3,1,4,[41],0,850,测试,,,100016,位于最深的地心，超级坚硬，无法撼动,,,2,,dig.stone,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
2,功能方块,FunctionBlock,,,,,,,,,,,,,,-1,,,,,,,,3,1,0,,,,测试,,,,神奇方块，威力不明,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
3,静态水,StaticWater,11,,,4,2,,,,,,,,,-1,,,,,,,,3,1,0,,70,750,测试,,,,静止的水方块,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
4,动态水,Water,11,,,4,2,,,,,,,,,-1,,,,,,,,3,1,0,,70,750,测试,,,,可流动的水,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
5,静态岩浆,StaticLava,11,,,4,2,,,,,,,,,-1,,,,,,,,3,1,0,,70,750,测试,,,,静止的岩浆方块，小心这很烫！,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
6,动态岩浆,Lava,11,,,4,2,,,,,,,,,-1,,,,,,,,3,1,0,,70,750,测试,,,,可流动的岩浆方块，小心这很烫，会受伤！,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
7,传送光效,TeleportEffect,,,,,,,,,,,,,,-1,,,,,,,,3,1,0,,,,测试,,,,似乎是个魔法方块,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
8,雕纹砖块,EngravingBlock,13,,,,,,,,,,,,,-1,,,,,,,,3,1,4,[43],0,410,测试,,,100018,布满浮雕的建筑方块，质地坚硬,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
9,加速移动方块,SpeedUpBlock,41,,,4,4,,,,,,,,,-1,,,,,,,,3,1,4,[43],0,50,测试,,,100018,穿过此方块的人会受到一股莫名的推力,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
10,星能块,StarenergyBlock,,,,,,,,,,,,,,-1,,,,,,,,,1,0,,,,测试,,,,放置后可以持续输出#c0aba1d星能信号#n,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
11,静态蜂蜜,StaticHoney,11,,,4,2,,,,,,,,,-1,,,,,,,,3,1,0,,70,750,测试,,,,静止的蜂蜜,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
12,动态蜂蜜,Honey,11,,,4,2,,,,,,,,,-1,,,,,,,,3,1,0,,70,750,测试,,,,可流动的蜂蜜,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
13,静态流沙,StaticQuicksand,11,,,4,2,,,,,,,,,-1,,,,,,,,3,1,0,,70,750,测试,,,,细沙构成的“河流”，危险！,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
14,动态流沙,Quicksand,11,,,4,2,,,,,,,,,-1,,,,,,,,3,1,0,,70,750,测试,,,,细沙构成的“河流”，危险！,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
